epoch,loss,tf.compat.v1.squeeze_1_loss,tf.compat.v1.squeeze_loss,val_loss,val_tf.compat.v1.squeeze_1_loss,val_tf.compat.v1.squeeze_loss
0,206.51646423339844,104.29086303710938,102.22553253173828,190.7526092529297,96.98501586914062,93.76758575439453
1,181.87451171875,92.3930892944336,89.48140716552734,167.2699737548828,85.21566772460938,82.05431365966797
2,164.81886291503906,83.92243957519531,80.89640045166016,152.09544372558594,78.3364028930664,73.75904083251953
3,152.1020965576172,77.76264953613281,74.3394546508789,140.6747589111328,71.84760284423828,68.82716369628906
4,144.50218200683594,73.55028533935547,70.95191192626953,133.74819946289062,67.76428985595703,65.9839096069336
5,139.98013305664062,70.89581298828125,69.0842514038086,129.67750549316406,65.5752182006836,64.102294921875
6,136.5475311279297,69.1843490600586,67.36315155029297,124.0965347290039,63.314022064208984,60.78250503540039
7,133.5961456298828,67.83866119384766,65.75745391845703,121.47423553466797,62.2939338684082,59.180294036865234
8,131.20054626464844,66.79254913330078,64.40802764892578,118.45608520507812,60.87180709838867,57.58427429199219
9,129.2195587158203,65.85167694091797,63.367889404296875,116.7779541015625,60.42014694213867,56.35782241821289
10,127.57323455810547,65.1739273071289,62.3993034362793,114.39081573486328,59.23237228393555,55.158447265625
11,126.11483764648438,64.3924789428711,61.722354888916016,111.67547607421875,58.26353073120117,53.41194534301758
12,124.91354370117188,63.855926513671875,61.05759048461914,110.56983184814453,57.689483642578125,52.88035583496094
13,123.87759399414062,63.26241683959961,60.61516189575195,109.06867218017578,56.8763313293457,52.192325592041016
14,123.0024185180664,62.79658889770508,60.2058219909668,106.69335174560547,55.75410461425781,50.939239501953125
15,122.19940185546875,62.35951614379883,59.83986282348633,106.08264923095703,55.3408317565918,50.741825103759766
16,121.48729705810547,61.99784851074219,59.489437103271484,104.62588500976562,54.446102142333984,50.17978286743164
17,120.77220916748047,61.597900390625,59.17433166503906,105.07958221435547,54.64622116088867,50.433353424072266
18,120.14159393310547,61.3017692565918,58.839839935302734,103.96088409423828,54.090938568115234,49.86994934082031
19,119.5235366821289,60.90438461303711,58.61919021606445,102.65933990478516,53.418975830078125,49.2403678894043
20,119.04003143310547,60.658416748046875,58.38160705566406,101.89960479736328,52.6469841003418,49.252620697021484
21,118.46537017822266,60.323665618896484,58.141754150390625,101.55624389648438,52.401702880859375,49.1545295715332
22,118.05486297607422,60.11306381225586,57.9417724609375,100.68421173095703,51.81065368652344,48.87355041503906
23,117.70352935791016,59.937744140625,57.765804290771484,100.07524871826172,51.96892166137695,48.106327056884766
24,117.2435531616211,59.67951583862305,57.56407165527344,99.3074722290039,50.958740234375,48.3487548828125
25,116.76909637451172,59.403011322021484,57.366092681884766,98.96823120117188,51.30488967895508,47.6633415222168
26,116.42803955078125,59.23305130004883,57.19498062133789,98.7236099243164,51.008052825927734,47.7155647277832
27,116.0232162475586,59.005001068115234,57.01823043823242,98.3254623413086,50.899845123291016,47.42561721801758
28,115.68380737304688,58.805904388427734,56.877925872802734,97.649169921875,50.4748649597168,47.1743049621582
29,115.37664031982422,58.65436935424805,56.7223014831543,96.77630615234375,49.61598205566406,47.16032028198242
30,115.03633880615234,58.48065185546875,56.555660247802734,96.03813934326172,49.43479919433594,46.60332107543945
31,114.70140838623047,58.2716064453125,56.42983627319336,96.3298110961914,49.80128860473633,46.52851867675781
32,114.36067962646484,58.09884262084961,56.2618522644043,95.52721405029297,48.88975143432617,46.637451171875
33,114.0906982421875,57.96464538574219,56.12602615356445,95.35453033447266,49.47099685668945,45.88351821899414
34,113.78722381591797,57.82400894165039,55.96321105957031,94.54370880126953,48.68056106567383,45.863155364990234
35,113.54736328125,57.664920806884766,55.88240432739258,93.81369018554688,48.201045989990234,45.61264419555664
36,113.23246002197266,57.51884460449219,55.71359634399414,93.48245239257812,47.937713623046875,45.54472732543945
37,113.03192138671875,57.4066276550293,55.625274658203125,93.2395248413086,48.032527923583984,45.20699691772461
38,112.6609878540039,57.22981262207031,55.43118667602539,92.28271484375,47.39161682128906,44.891109466552734
39,112.49983978271484,57.09347915649414,55.40639114379883,92.07644653320312,47.83293533325195,44.24351501464844
40,112.27508544921875,56.9500732421875,55.32503128051758,91.90068817138672,47.11471176147461,44.78596878051758
41,112.02755737304688,56.8759880065918,55.15156936645508,91.51449584960938,47.02994155883789,44.48454666137695
42,111.809326171875,56.71284484863281,55.09646987915039,91.25745391845703,47.18009948730469,44.07736587524414
43,111.52025604248047,56.581974029541016,54.93826675415039,90.76314544677734,46.72416687011719,44.03899002075195
44,111.3434829711914,56.48100662231445,54.862518310546875,90.45845794677734,46.56229019165039,43.89616775512695
45,111.156982421875,56.36343765258789,54.79354476928711,89.9938735961914,46.05765914916992,43.936214447021484
46,110.90966796875,56.236141204833984,54.673526763916016,89.23290252685547,45.82814025878906,43.404754638671875
47,110.73410034179688,56.13192367553711,54.6021842956543,89.2118148803711,46.0080680847168,43.20375442504883
48,110.53693389892578,56.08419418334961,54.45273208618164,89.11348724365234,45.682342529296875,43.43115234375
49,110.25064086914062,55.90109634399414,54.34952926635742,88.41015625,45.273685455322266,43.136478424072266
50,110.06563568115234,55.76626968383789,54.29936599731445,88.50640106201172,45.08723449707031,43.419158935546875
51,109.94554901123047,55.71726989746094,54.22831726074219,87.19891357421875,44.77894973754883,42.41995620727539
52,109.70015716552734,55.587825775146484,54.11235046386719,87.5723648071289,45.03257751464844,42.539798736572266
53,109.4998779296875,55.509464263916016,53.99044418334961,87.11273193359375,44.886474609375,42.226253509521484
54,109.3506088256836,55.414608001708984,53.936004638671875,86.51929473876953,44.21962356567383,42.2996711730957
